Year,formatted_title,Human extract words,SpaCy Extracted Words
2021,A (Mostly) Symbolic System For Monotonic Inference With Unscoped Episodic Logical Forms,"monotonic inference, unscoped episodic logical forms",unscoped episodic logical forms
2020,A Span-Based Linearization For Constituent Trees,"span-based linearization, constituent trees",spanbased linearization for constituent trees
2010,Multi-Document Summarization Via Budgeted Maximization Of Submodular Functions,"multi-document summarization, budgeted maximization, submodular functions",multidocument summarization via budgeted maximization of submodular functions
2015,On Grammaticality In The Syntactic Annotation Of Learner Language,"syntactic annotation, learner language",
2021,Focused Attention Improves Document-Grounded Generation,"focused attention, document-grounded generation",
2012,Annotating A Corpus Of Human Interaction With Prosodic Profiles --- Focusing On Mandarin Repair/Disfluency,"human interaction, prosodic profiles",
1993,Towards Efficient Parsing With Proof-Nets,"efficient parsing, proof-nets",
2015,Types Of Aspect Terms In Aspect-Oriented Sentiment Labeling,"aspect terms, aspect-oriented sentiment labeling",
2019,Word Sense Disambiguation Based On Constrained Random Walks In Linked Semantic Networks,"word sense disambiguation, constrained random walks, linked semantic networks",linked semantic networks
2016,Easy Things First: Installments Improve Referring Expression Generation For Objects In Photographs,"referring expression generation,  objects in photographs","photographs, installments improve referring expression generation"
2000,Modeling The Effect Of Cross-Language Ambiguity On Human Syntax Acquisition,"cross-language ambiguity, human syntax acquisition",the effect of crosslanguage ambiguity on human syntax acquisition
2013,Using Pu-Learning To Detect Deceptive Opinion Spam,"pu-learning, deceptive opinion spam",pulearning to detect deceptive opinion spam
2008,Unsupervised Resource Creation For Textual Inference Applications,"unsupervised resource creation, textual inference applications",unsupervised resource creation for textual inference applications
2016,Integer Linear Programming For Discourse Parsing,"integer linear programming, discourse parsing",integer linear programming for discourse parsing
2021,Revisiting Multi-Domain Machine Translation,multi-domain machine translation,
2001,Fine-Grained Hidden Markov Modeling For Broadcast-News Story Segmentation,"fine-grained hidden markov modeling, broadcast-news story segmentation","finegrained, broadcastnews story segmentation"
2022,Parsing Early Modern English For Linguistic Search,"parsing early modern english, linguistic search",
2021,Capturing Gradience In Long-Distance Phonology Using Probabilistic Tier-Based Strictly Local Grammars,"capturing gradience, long-distance phonology, probabilistic tier-based strictly local grammars",
2014,Classifying Negative Findings In Biomedical Publications,"biomedical publications, negative findings","classifying negative findings, biomedical publications"
1999,The Syntactic Processing Of Particles In Japanese Spoken Language,"syntactic processing, particles, japanese spoken language","the syntactic processing of particles, japanese"
2020,Summarize Before Aggregate: A Global-To-Local Heterogeneous Graph Inference Network For Conversational Emotion Recognition,"global-to-local heterogeneous graph inference network, conversational emotion recognition",
2022,The Dangers Of Underclaiming: Reasons For Caution When Reporting How Nlp Systems Fail,"underclaiming, nlp systems",the dangers of underclaiming reasons for caution when reporting how nlp systems fail
1965,Data Preparation For Syntactic Translation,"data preparation, syntactic translation",data preparation for syntactic translation
2006,Tokenization And Morphological Analysis For Malagasy,"tokenization, morphological analysis, malagasy",tokenization and morphological analysis
2016,Retrieval Term Prediction Using Deep Learning Methods,deep learning methods,
2017,Lct-Malta'S Submission To Repeval 2017 Shared Task,repeval 2017 shared task,lctmaltas submission to repeval 2017 shared task
2020,Iiitg-Adbu At Semeval-2020 Task 12: Comparison Of Bert And Bilstm In Detecting Offensive Language,"iiitg-adbu, semeval-2020 task 12, bert, bilstm, detecting offensive language",iiitgadbu at semeval2020 task 12
2016,"A Tag-Based English Math Word Problem Solver With Understanding, Reasoning And Explanation","tag-based english math word problem solver, understanding, reasoning, explanation",reasoning and explanation
2016,Surveys: A Survey Of Word Reordering In Statistical Machine Translation: Computational Models And Language Phenomena,"word reordering, statistical machine translation, computational models, language phenomena",
2015,How Constructions Mean,constructions,
2017,Ranking Convolutional Recurrent Neural Networks For Purchase Stage Identification On Imbalanced Twitter Data,"convolutional recurrent neural networks, purchase stage identification",ranking convolutional recurrent neural networks for
2019,You Only Need Attention To Traverse Trees,"attention, traverse trees",
2017,Uwaterloo At Semeval-2017 Task 7: Locating The Pun Using Syntactic Characteristics And Corpus-Based Metrics,,corpusbased metrics
2012,Conandoyle-Neg: Annotation Of Negation Cues And Their Scope In Conan Doyle Stories,"negation cues, conan doyle stories",conandoyleneg annotation of negation cues and their scope
2021,``It Doesn'T Look Good For A Date'': Transforming Critiques Into Preferences For Conversational Recommendation Systems,conversational recommendation systems,"it doesnt look good for a date, transforming critiques into preferences for conversational recommendation systems"
2021,Zero-Shot Cross-Lingual Dependency Parsing Through Contextual Embedding Transformation,"zero-shot cross-lingual dependency parsing,  contextual embedding transformation",zeroshot crosslingual dependency parsing through contextual embedding transformation
2009,Turn-Yielding Cues In Task-Oriented Dialogue,"turn-yielding cues, task-oriented dialogue",
2017,"Dialport, Gone Live: An Update After A Year Of Development",dialport,
2019,Towards A Metric For Automated Conversational Dialogue System Evaluation And Improvement,automated conversational dialogue system,
2006,Developing And Using A Pilot Dialectal Arabic Treebank,pilot dialectal arabic treebank,
2005,Machine Translation Based On Constraint-Based Synchronous Grammar,"machine translation, constraint-based synchronous grammar",
2020,An Expectation Maximisation Algorithm For Automated Cognate Detection,"expectation maximisation algorithm, automated cognate detection",automated cognate detection
2022,Transferring Confluent Knowledge To Argument Mining,"confluent knowledge, argument mining",
2012,Phrase-Based Evaluation For Machine Translation,"phrase-based evaluation, machine translation",phrasebased evaluation for machine translation
2014,Sentence-Level Rewriting Detection,sentence-level rewriting detection,sentencelevel rewriting detection
2016,Multilingual Relation Extraction Using Compositional Universal Schema,"multilingual relation extraction, compositional universal schema",multilingual relation extraction using compositional universal schema
2014,Improved Correction Detection In Revised Esl Sentences,revised esl sentences,improved correction detection
2016,Finding Rising And Falling Words,Finding Rising And Falling Words,
2014,Exploring Fine-Grained Entity Type Constraints For Distantly Supervised Relation Extraction,"fine-grained entity type constraints, distantly supervised relation extraction",
2020,Propagate-Selector: Detecting Supporting Sentences For Question Answering Via Graph Neural Networks,"propagate-selector, detecting supporting sentences, graph neural networks",propagateselector
2010,Improved Statistical Measures To Assess Natural Language Parser Performance Across Domains,"statistical measures, natural language parser performance",
2014,A Hybrid Approach To Features Representation For Fine-Grained Arabic Named Entity Recognition,"hybrid approach, features representation, fine-grained arabic named entity recognition",
2020,Design Challenges In Low-Resource Cross-Lingual Entity Linking,low-resource cross-lingual entity linking,
2022,Probing As Quantifying Inductive Bias,"probing, quantifying inductive bias",
2018,No More Beating About The Bush : A Step Towards Idiom Handling For Indian Language Nlp,"idiom handling, language nlp","indian language nlp, bush"
1982,A Pragmatic Concept Of Theme And Rheme For Machine Translation,"pragmatic concept, machine translation",
2012,Addressing Polysemy In Bilingual Lexicon Extraction From Comparable Corpora,"bilingual lexicon extraction, comparable corpora",bilingual lexicon extraction from
2012,Fast Unsupervised Dependency Parsing With Arc-Standard Transitions,"unsupervised dependency parsing,  arc-standard transitions",
2018,Veyn At Parseme Shared Task 2018: Recurrent Neural Networks For Vmwe Identification,"recurrent neural networks, vmwe identification","parseme shared task 2018, recurrent neural networks"
2016,Semantic Representations Of Word Senses And Concepts,"semantic representations, word senses and concepts",
2020,Verbal Multiword Expressions For Identification Of Metaphor,"verbal multiword expressions, identification of metaphor",
1996,Sources Of Flexibility In Dynamic Hypertext Generation,dynamic hypertext generation,
2017,On The Challenges Of Translating Nlp Research Into Commercial Products,"nlp research, commercial products",the challenges of translating nlp research into commercial products
2011,Towards Multi-Document Summarization Of Scientific Articles:Making Interesting Comparisons With Scisumm,"multi-document summarization, scisumm",
2016,Semantic Links For Portuguese,portuguese,"portuguese, semantic links"
2006,Modeling Human Sentence Processing Data With A Statistical Parts-Of-Speech Tagger,"human sentence processing data, statistical parts-of-speech tagger",modeling
2013,Automatic Voice Selection In Japanese Based On Various Linguistic Information,"automatic voice selection, various linguistic information","japanese, automatic voice selection"
2013,Upc-Core: What Can Machine Translation Evaluation Metrics And Wikipedia Do For Estimating Semantic Textual Similarity?,"machine translation evaluation metrics, semantic textual similarity",upccore what can machine translation evaluation metrics
2008,Identify Temporal Websites Based On User Behavior Analysis,"temporal websites, user behavior analysis",identify temporal
2021,Roff - A Romanian Twitter Dataset For Offensive Language,"romanian twitter dataset, offensive language, roff","romanian, offensive language"
2005,Sentence Fusion For Multidocument News Summarization,"sentence fusion, multidocument news summarization",sentence fusion for multidocument news summarization
2021,Bert Meets Cranfield: Uncovering The Properties Of Full Ranking On Fully Labeled Data,"bert, cranfield, fully labeled data",bert meets cranfield
2002,Quantitative Parameters In Corpus Design: Estimating The Optimum Text Size In Modern Greek Language,"quantitative parameters, corpus design, optimum text size",the optimum text size in modern greek language
2006,Finding The Appropriate Generalization Level For Binary Ontological Relations Extracted From The Genia Corpus,"appropriate generalization level, inary ontological relations, the genia corpus",the appropriate generalization level for binary ontological relations extracted from the genia corpus
2005,The Influence Of Data Homogeneity On Nlp System Performance,"data homogeneity, nlp system performance",
2003,Annotated Hungarian National Corpus,hungarian national corpus,annotated hungarian national corpus
2006,A Novel Textual Encoding Paradigm Based On Semantic Web Tools And Semantics,"textual encoding paradigm, semantic web tools",paradigm based
2021,Evaluating The Values Of Sources In Transfer Learning,transfer learning,
2011,Evaluating The Effect Of Word Frequencies In A Probabilistic Generative Model Of Morphology,"word frequencies, probabilistic generative model, morphology",
2021,Structured Refinement For Sequential Labeling,"structured refinement, sequential labeling",structured refinement for sequential labeling
2017,Learning Antonyms With Paraphrases And A Morphology-Aware Neural Network,morphology-aware neural network,
2013,Sexual Predator Detection In Chats With Chained Classifiers,"sexual predator detection , chained classifiers",sexual predator detection
2020,Multi-Hop Inference For Question-Driven Summarization,"multi-hop inference, question-driven summarization",multihop inference for questiondriven summarization
2010,Soochow University: Description And Analysis Of The Chinese Word Sense Induction System For Clp2010,chinese word sense induction system,"clp2010, soochow university description and analysis of the chinese word sense induction system"
2015,Word Alignment Based Parallel Corpora Evaluation And Cleaning Using Machine Learning Techniques,"machine learning techniques, word alignment based",parallel corpora evaluation
2018,Leveraging Data Resources For Cross-Linguistic Information Retrieval Using Statistical Machine Translation,"cross-linguistic information retrieval, statistical machine translation",leveraging data resources for crosslinguistic information retrieval using statistical machine translation
2022,Detecting Rumor Veracity With Only Textual Information By Double-Channel Structure,"double-channel structure, textual information, rumor veracity",
2019,Distantly Supervised Biomedical Knowledge Acquisition Via Knowledge Graph Based Attention,"knowledge graph, attention, distantly supervised biomedical knowledge acquisition",via knowledge
1961,The Classification Of English Verbs By Object Types,classification of english verbs,the classification of english verbs by object types
2008,Tulipa: A Syntax-Semantics Parsing Environment For Mildly Context-Sensitive Formalisms,mildly context-sensitive formalisms,
2020,A Deep Learning System For Sentiment Analysis Of Service Calls,"deep learning system, sentiment analysis",deep learning system for sentiment analysis of service
2020,Parsing Icelandic Al\Thingi Transcripts: Parliamentary Speeches As A Genre,"icelandic al\thingi transcripts,  parliamentary speeches",
2012,"What'S Your Pick: Rbmt, Smt Or Hybrid?","rbmt, smt, hybrid?",
2012,The Lre Map. Harmonising Community Descriptions Of Resources,"lre map, harmonising community",lre map
2012,Open Language Learning For Information Extraction,"open language learning, information extraction",
2016,Multimodal Semantic Learning From Child-Directed Input,"multimodal semantic learning, child-directed input",multimodal semantic learning from childdirected input
2021,Frequency Effects On Syntactic Rule Learning In Transformers,"syntactic rule learning, transformers",
2013,Augmentable Paraphrase Extraction Framework,paraphrase extraction framework,
2022,New Intent Discovery With Pre-Training And Contrastive Learning,"intent discovery, contrastive learning",new intent discovery with pretraining and contrastive learning
2017,A Data-Driven Model Of Explanations For A Chatbot That Helps To Practice Conversation In A Foreign Language,"data-driven model, chatbot, foreign language",
2005,Parallel Entity And Treebank Annotation,"parallel entity, treebank annotation",
2018,Adapt At Semeval-2018 Task 9: Skip-Gram Word Embeddings For Unsupervised Hypernym Discovery In Specialised Corpora,"unsupervised hypernym discovery, specialised corpora","specialised, discovery"
1999,Word Informativeness And Automatic Pitch Accent Modeling,"word informativeness, automatic pitch accent modeling",
2019,"Enabling Robust Grammatical Error Correction In New Domains: Data Sets, Metrics, And Analyses",robust grammatical error correction,data sets metrics
2022,Rakuten'S Participation In Wat 2022: Parallel Dataset Filtering By Leveraging Vocabulary Heterogeneity,"parallel dataset filtering, leveraging vocabulary heterogeneity",2022
1996,The Automatic Extraction Of Open Compounds From Text Corpora,"automatic extraction, text corpora","text corpora, the automatic extraction of open compounds"
2007,Semeval-2007 Task 06: Word-Sense Disambiguation Of Prepositions,word-sense disambiguation,"task 06, semeval2007"
2015,Lark Trills For Language Drills: Text-To-Speech Technology For Language Learners,"lark trills, language drills",
2021,Nuig-Dsi'S Submission To The Gem Benchmark 2021, gem benchmark 2021,"2021, nuigdsis submission to the gem benchmark"
2016,Commonsense Knowledge Base Completion,"commonsense knowledge , completion",commonsense knowledge base completion
2018,Proceedings Of The Conll--Sigmorphon 2018 Shared Task: Universal Morphological Reinflection,universal morphological reinflection,2018
2008,Creating And Querying A Domain Dependent Know-How Knowledge Base Of Advices And Warnings,domain dependent know-how knowledge base,
2013,Towards Accurate Distant Supervision For Relational Facts Extraction,"accurate distant supervision, relational facts extraction",
2003,Evaluation Of Features For Sentence Extraction On Different Types Of Corpora,"sentence extraction, corpora",
2014,Simple Negation Scope Resolution Through Deep Parsing: A Semantic Solution To A Semantic Problem,"deep parsing, negation scope resolution",simple negation scope resolution through deep parsing
1985,Non Standard Uses Of If,Non Standard Uses Of If,non standard uses of
2022,Telin: Table Entity Linker For Extracting Leaderboards From Machine Learning Publications,"table entity linker, extracting leaderboards",machine learning publications
1991,Speech Understanding And Dialogue Over The Telephone: An Overview Of The Esprit Sundial Project.,"speech understanding, esprit sundial project",
2019,Cameli@ : Analyses Automatiques D'E-Mails Pour Am\'Eliorer La Relation Client (Cameli@ : Automatic E-Mail Analysis To Improve The Customer Relationship ),automatic e-mail analysis,analyses automatiques
2014,Database Design Of An Online E-Learning Tool Of Chinese Classifiers,"online e-learning tool, chinese classifiers",
1992,A National Resource Grammar,national resource grammar,
2005,Semantic Similarity For Detecting Recognition Errors In Automatic Speech Transcripts,"semantic similarity, detecting recognition errors, automatic speech transcripts","automatic, semantic similarity for detecting recognition errors"
2010,Investigations Into The Crandem Approach To Word Recognition,"crandem approach, word recognition",
2014,The Evolving Infrastructure For Language Resources And The Role For Data Scientists,infrastructure for language resources,the evolving infrastructure for language resources
2019,Towards Coherent And Engaging Spoken Dialog Response Generation Using Automatic Conversation Evaluators,"spoken dialog response generation, automatic conversation evaluators",
2010,On The Role Of Nlp In Linguistics,nlp,the role of nlp in linguistics
2016,Kelp At Semeval-2016 Task 3: Learning Semantic Relations Between Questions And Answers,learning semantic relations,learning semantic relations
2019,Comparing Linear And Neural Models For Competitive Mwe Identification,"linear and neural models, competitive mwe identification",comparing linear and neural models for competitive mwe identification
2020,"A Shared Task Of A New, Collaborative Type To Foster Reproducibility: A First Exercise In The Area Of Language Science And Technology With Reprolang2020","foster reproducibility, reprolang2020",
2018,An Amr Aligner Tuned By Transition-Based Parser,"amr aligner, transition-based parser",an amr aligner tuned by transitionbased
2013,Dale: A Word Sense Disambiguation System For Biomedical Documents Trained Using Automatically Labeled Examples,"word sense disambiguation system, biomedical documents",
1998,Coreference Resolution Strategies From An Application Perspective,,
1999,Formalizing Translation Memories,formalizing translation memories,formalizing translation memories
2004,Strategies For Advanced Question Answering,advanced question answering,
2009,Toward Using Morphology In French-English Phrase-Based Smt,rench-english phrase-based smt,french
2022,End-To-End Speech Translation Of Arabic To English Broadcast News,end-to-end speech translation,broadcast news
2006,Development Of An Automatic Trend Exploration System Using The Must Data Collection,"automatic trend exploration system, must data collection",
2015,Proceedings Of The Workshop Natural Language Processing For Translation Memories,"natural language processing, translation memories",
2014,Deep Neural Network Applied To Part-Of-Speech Tagging (R\'Eseau De Neurones Profond Pour L'\'Etiquetage Morpho-Syntaxique) [In French],"deep neural network, part-of-speech tagging","french, morphosyntaxique"
2021,Yseop At Finsim-3 Shared Task 2021: Specializing Financial Domain Learning With Phrase Representations,"specializing financial domain learning, phrase representations","specializing financial domain learning, yseop, shared task 2021"
2018,Deepsa2018 At Semeval-2018 Task 1: Multi-Task Learning Of Different Label For Affect In Tweets,"multi-task learning, affect in tweets",multitask learning of different label for affect in tweets
2021,Sliding Selector Network With Dynamic Memory For Extractive Summarization Of Long Documents,"sliding selector network, dynamic memory, extractive summarization",
2010,Clause Identification And Classification In Bengali,clause identification and classification,
2022,Is My Model Using The Right Evidence? Systematic Probes For Examining Evidence-Based Tabular Reasoning," systematic probes, examining evidence-based tabular reasoning",
2002,An Agent-Based Approach To Chinese Named Entity Recognition,"entity recognition, agent-based approach",
2002,Using Contextual Spelling Correction To Improve Retrieval Effectiveness In Degraded Text Collections,"contextual spelling correction, retrieval effectiveness, degraded text collections",using contextual spelling correction
2005,Paradigmatic Modifiability Statistics For The Extraction Of Complex Multi-Word Terms,"extraction of complex multi-word terms, paradigmatic modifiability statistics","the extraction of complex multiword terms, paradigmatic modifiability statistics for"
2014,Shift-Reduce Ccg Parsing With A Dependency Model,"shift-reduce ccg parsing, dependency model",shiftreduce ccg parsing with a dependency model
1988,A New Design Of Prolog-Based Bottom-Up Parsing System With Government-Binding Theory,"prolog-based bottom-up parsing system, government-binding theory",
2022,A Closer Look At Parameter Contributions When Training Neural Language And Translation Models,"neural language, translation models",
